@relation responses_discretized-weka.filters.unsupervised.attribute.Remove-R1

@attribute SalaryUSD {Low,'Very High',High,'Very Low',Mid}
@attribute Country {Sweden,USA,UK,Pakistan,Paraguay,India,Serbia-and-Montenegro,Germany,Canada,Dominican-Republic,Slovakia,Brazil,France,Poland,Romania,Ireland,South-Africa,Portugal,CostaRica,Israel,Argentina,Peru,Australia,Venezuela,Spain,Belgium,Malaysia,Netherlands,Russia,Italy,Finland,Turkey,Austria,New-Zealand,Honduras,UAE,Guernsey,Norway,Luxembourg,PuertoRico,Guatemala,Greece,Denmark,Lithuania,Ukraine,Philippines,Hungary,Estonia,Caymans,Croatia,Indonesia,Thailand,Switzerland,Slovenia,Bosnia,Cyprus,Bulgaria,Singapore,Colombia,Chile,Iceland,Macedonia,Jersey,Latvia,CzechRepublic,Mexico,Bangladesh,China,Iran,Qatar,Ecuador,Uruguay,SaudiArabia,Vanuatu,Taiwan,Maldives,Armenia,Swaziland,Georgia,HK,Syria,Bahrain,Moldova,Nicaragua,Jamaica,Malta,Jordan,Uganda,Belarus,Nepal,Ghana,ElSalvador,Albania,Bolivia,Vietnam,Bermuda,Kenya}
@attribute PrimaryDatabase {M,P,A,MA,O,MS,RDS,MDB,DB2,SQLI,C,SAP,T,E}
@attribute YearsWithThisDatabase numeric
@attribute EmploymentStatus {E,EC,IC,P,I}
@attribute JobTitle {D,DBAP,DBAG,M,DA,DT,A,DBAD,E,AN,DS,DBA,PDE,DO,T,DBS,C,SA,S,DBABI,SRC,AC}
@attribute ManageStaff {Y,N}
@attribute YearsWithThisTypeOfJob numeric
@attribute HowManyCompanies numeric
@attribute OtherPeopleOnYourTeam numeric
@attribute PopulationOfLargestCityWithin20Miles {t,m,C,c,T}
@attribute EmploymentSector {PB,E,SG,LG,NP,FG,S}
@attribute CareerPlansThisYear {S,C,SR,SE}
@attribute Gender {M,F,NB}
@attribute DatabaseServers numeric
@attribute Education {'Bachelors (4 years)','None (no degree completed)',Masters,'Associates (2 years)',Doctorate/PhD}
@attribute EducationIsComputerRelated {Yes,No}
@attribute Certifications {N,YesValid,YesExpired}
@attribute HoursWorkedPerWeek numeric
@attribute TelecommuteDaysPerWeek {zero,five,four,one,three,two}

@data
Low,Sweden,M,4,E,D,Y,4,1,0,t,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,15,E,DBAP,N,25,5,0,m,PB,S,M,?,?,?,?,?,?
High,USA,M,12,E,DBAG,Y,6,4,1,C,PB,S,M,?,?,?,?,?,?
'Very Low',UK,M,10,E,DBAP,N,5,2,0,C,E,S,M,?,?,?,?,?,?
Mid,USA,M,5,E,D,N,5,1,0,c,PB,S,M,?,?,?,?,?,?
'Very Low',Pakistan,M,14,E,M,Y,14,1,1,m,PB,S,M,?,?,?,?,?,?
High,USA,M,14,E,DA,N,14,3,6,m,PB,?,M,?,?,?,?,?,?
'Very High',USA,P,2,EC,M,Y,9,2,1,m,PB,S,F,?,?,?,?,?,?
High,USA,M,10,E,DBAG,N,2,1,4,c,PB,S,M,?,?,?,?,?,?
Low,UK,M,10,E,DT,Y,10,4,0,C,PB,S,?,?,?,?,?,?,?
'Very Low',Paraguay,M,5,E,DBAG,N,5,2,0,t,PB,S,F,?,?,?,?,?,?
High,USA,M,6,EC,DT,N,6,4,0,T,PB,C,M,?,?,?,?,?,?
'Very Low',India,M,13,E,DBAP,Y,13,4,6,m,PB,C,M,?,?,?,?,?,?
'Very Low',Serbia-and-Montenegro,M,20,E,A,Y,20,1,0,m,PB,SR,M,?,?,?,?,?,?
High,USA,M,20,E,M,Y,5,2,0,C,PB,S,M,?,?,?,?,?,?
'Very Low',Germany,M,2,E,DBAD,N,7,3,2,c,E,S,M,?,?,?,?,?,?
'Very High',USA,M,11,E,DT,Y,10,2,0,m,PB,S,M,?,?,?,?,?,?
'Very High',USA,?,8,EC,A,N,20,6,1,m,PB,S,M,?,?,?,?,?,?
Mid,Canada,M,16,E,DBAG,N,16,2,0,m,PB,SE,M,?,?,?,?,?,?
'Very Low',India,M,4,E,DBAP,N,4,2,3,m,PB,?,M,?,?,?,?,?,?
Low,USA,M,5,E,DA,N,7,1,2,T,PB,SR,M,?,?,?,?,?,?
'Very Low',Canada,M,8,E,DBAG,N,8,2,2,m,SG,SE,M,?,?,?,?,?,?
Low,USA,M,2,E,DBAG,N,3,2,3,C,LG,S,M,?,?,?,?,?,?
Low,UK,M,5,E,E,Y,5,1,1,C,PB,S,M,?,?,?,?,?,?
Low,USA,?,5,E,AN,N,5,1,0,c,PB,C,M,?,?,?,?,?,?
'Very Low',UK,M,3,E,DBAG,N,1,2,1,c,NP,SE,M,?,?,?,?,?,?
'Very High',UK,M,23,IC,A,N,23,6,6,T,PB,C,M,?,?,?,?,?,?
Mid,Canada,M,25,E,DBAG,N,15,4,0,c,PB,S,M,?,?,?,?,?,?
Mid,UK,M,11,E,DBAP,N,10,3,5,m,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,18,E,A,Y,18,1,0,c,PB,S,M,?,?,?,?,?,?
'Very Low',India,A,6,E,DBAG,N,6,3,6,m,PB,S,M,?,?,?,?,?,?
Mid,USA,M,6,E,A,N,2,2,6,C,PB,S,M,?,?,?,?,?,?
High,USA,M,8,E,DBAG,N,6,4,0,m,PB,S,M,?,?,?,?,?,?
'Very Low',Dominican-Republic,M,5,E,DBAG,N,4,2,3,m,SG,SE,M,?,?,?,?,?,?
'Very High',USA,M,20,EC,A,Y,2,1,0,m,PB,SR,F,?,?,?,?,?,?
'Very Low',Slovakia,M,6,IC,DT,N,6,5,2,C,PB,C,M,?,?,?,?,?,?
'Very High',USA,M,12,E,DBAP,N,6,1,0,m,PB,SR,?,?,?,?,?,?,?
'Very Low',USA,MA,5,E,AN,N,5,1,2,c,PB,SE,M,?,?,?,?,?,?
High,USA,M,25,E,DBAD,Y,20,1,0,m,PB,S,M,?,?,?,?,?,?
Mid,USA,M,15,E,DBAP,Y,14,1,6,c,PB,SR,M,?,?,?,?,?,?
'Very High',USA,M,6,E,DA,N,6,3,6,T,PB,S,?,?,?,?,?,?,?
Low,Canada,M,14,E,A,N,3,1,1,m,SG,C,M,?,?,?,?,?,?
'Very Low',Brazil,M,8,E,DBAP,Y,3,5,5,m,PB,S,M,?,?,?,?,?,?
Mid,USA,M,5,E,DBAG,N,4,1,0,m,PB,S,M,?,?,?,?,?,?
Mid,Germany,M,5,E,DBAG,N,5,1,1,T,PB,S,M,?,?,?,?,?,?
'Very Low',USA,O,2,E,AN,N,5,2,2,C,PB,?,M,?,?,?,?,?,?
'Very Low',India,M,8,E,DBAG,N,8,1,2,m,PB,SR,M,?,?,?,?,?,?
Low,Canada,M,15,E,D,N,17,3,2,T,LG,S,M,?,?,?,?,?,?
'Very Low',USA,M,10,E,AN,N,15,3,1,c,PB,S,M,?,?,?,?,?,?
High,USA,A,6,E,E,N,2,5,6,C,PB,C,M,?,?,?,?,?,?
Low,USA,M,1,E,AN,N,1,1,4,m,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,23,E,DBAG,N,23,1,2,m,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,10,E,M,Y,14,4,0,m,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,15,IC,DT,N,15,1,5,m,PB,S,M,?,?,?,?,?,?
High,USA,M,23,E,DBAG,N,23,4,2,m,PB,SE,M,?,?,?,?,?,?
'Very Low',USA,M,2,E,DBAG,N,5,2,0,T,NP,S,M,?,?,?,?,?,?
'Very High',USA,M,20,E,DBAG,N,20,6,2,m,PB,SR,M,?,?,?,?,?,?
High,USA,M,15,E,DBAG,N,15,2,0,m,NP,S,M,?,?,?,?,?,?
'Very High',USA,M,20,E,A,Y,2,1,0,m,PB,S,M,?,?,?,?,?,?
Low,France,M,14,E,E,Y,4,2,0,C,PB,S,M,?,?,?,?,?,?
