SalaryUSD|Country|PrimaryDatabase|YearsWithThisDatabase|EmploymentStatus|JobTitle|ManageStaff|YearsWithThisTypeOfJob|HowManyCompanies|OtherPeopleOnYourTeam|PopulationOfLargestCityWithin20Miles|EmploymentSector|CareerPlansThisYear|Gender|DatabaseServers|Education|EducationIsComputerRelated|Certifications|HoursWorkedPerWeek|TelecommuteDaysPerWeek
65000|Sweden|M|4|E|D|Y|4|1|0|t|PB|S|M||||||
145000|USA|M|15|E|DBAP|N|25|5|0|m|PB|S|M||||||
105000|USA|M|12|E|DBAG|Y|6|4|1|C|PB|S|M||||||
46482|UK|M|10|E|DBAP|N|5|2|0|C|E|S|M||||||
98800|USA|M|5|E|D|N|5|1|0|c|PB|S|M||||||
2500|Pakistan|M|14|E|M|Y|14|1|1|m|PB|S|M||||||
100800|USA|M|14|E|DA|N|14|3|6|m|PB||M||||||
160000|USA|P|2|EC|M|Y|9|2|1|m|PB|S|F||||||
105000|USA|M|10|E|DBAG|N|2|1|4|c|PB|S|M||||||
61100|UK|M|10|E|DT|Y|10|4|0|C|PB|S|||||||
18000|Paraguay|M|5|E|DBAG|N|5|2|0|t|PB|S|F||||||
120000|USA|M|6|EC|DT|N|6|4|0|T|PB|C|M||||||
15500|India|M|13|E|DBAP|Y|13|4|6|m|PB|C|M||||||
36000|Serbia-and-Montenegro|M|20|E|A|Y|20|1|0|m|PB|SR|M||||||
120000|USA|M|20|E|M|Y|5|2|0|C|PB|S|M||||||
55250|Germany|M|2|E|DBAD|N|7|3|2|c|E|S|M||||||
146000|USA|M|11|E|DT|Y|10|2|0|m|PB|S|M||||||
185000|USA||8|EC|A|N|20|6|1|m|PB|S|M||||||
95000|Canada|M|16|E|DBAG|N|16|2|0|m|PB|SE|M||||||
7500|India|M|4|E|DBAP|N|4|2|3|m|PB||M||||||
65000|USA|M|5|E|DA|N|7|1|2|T|PB|SR|M||||||
60000|Canada|M|8|E|DBAG|N|8|2|2|m|SG|SE|M||||||
74000|USA|M|2|E|DBAG|N|3|2|3|C|LG|S|M||||||
70000|UK|M|5|E|E|Y|5|1|1|C|PB|S|M||||||
73000|USA||5|E|AN|N|5|1|0|c|PB|C|M||||||
42509|UK|M|3|E|DBAG|N|1|2|1|c|NP|SE|M||||||
132000|UK|M|23|IC|A|N|23|6|6|T|PB|C|M||||||
90000|Canada|M|25|E|DBAG|N|15|4|0|c|PB|S|M||||||
98500|UK|M|11|E|DBAP|N|10|3|5|m|PB|S|M||||||
146000|USA|M|18|E|A|Y|18|1|0|c|PB|S|M||||||
20344|India|A|6|E|DBAG|N|6|3|6|m|PB|S|M||||||
100000|USA|M|6|E|A|N|2|2|6|C|PB|S|M||||||
120000|USA|M|8|E|DBAG|N|6|4|0|m|PB|S|M||||||
15000|Dominican-Republic|M|5|E|DBAG|N|4|2|3|m|SG|SE|M||||||
125000|USA|M|20|EC|A|Y|2|1|0|m|PB|SR|F||||||
57000|Slovakia|M|6|IC|DT|N|6|5|2|C|PB|C|M||||||
146000|USA|M|12|E|DBAP|N|6|1|0|m|PB|SR|||||||
52000|USA|MA|5|E|AN|N|5|1|2|c|PB|SE|M||||||
118000|USA|M|25|E|DBAD|Y|20|1|0|m|PB|S|M||||||
100000|USA|M|15|E|DBAP|Y|14|1|6|c|PB|SR|M||||||
125000|USA|M|6|E|DA|N|6|3|6|T|PB|S|||||||
64864|Canada|M|14|E|A|N|3|1|1|m|SG|C|M||||||
47000|Brazil|M|8|E|DBAP|Y|3|5|5|m|PB|S|M||||||
100000|USA|M|5|E|DBAG|N|4|1|0|m|PB|S|M||||||
90000|Germany|M|5|E|DBAG|N|5|1|1|T|PB|S|M||||||
52000|USA|O|2|E|AN|N|5|2|2|C|PB||M||||||
9716|India|M|8|E|DBAG|N|8|1|2|m|PB|SR|M||||||
66792|Canada|M|15|E|D|N|17|3|2|T|LG|S|M||||||
52000|USA|M|10|E|AN|N|15|3|1|c|PB|S|M||||||
115000|USA|A|6|E|E|N|2|5|6|C|PB|C|M||||||
75000|USA|M|1|E|AN|N|1|1|4|m|PB|S|M||||||
136500|USA|M|23|E|DBAG|N|23|1|2|m|PB|S|M||||||
177000|USA|M|10|E|M|Y|14|4|0|m|PB|S|M||||||
156000|USA|M|15|IC|DT|N|15|1|5|m|PB|S|M||||||
120000|USA|M|23|E|DBAG|N|23|4|2|m|PB|SE|M||||||
50000|USA|M|2|E|DBAG|N|5|2|0|T|NP|S|M||||||
127000|USA|M|20|E|DBAG|N|20|6|2|m|PB|SR|M||||||
119000|USA|M|15|E|DBAG|N|15|2|0|m|NP|S|M||||||
138000|USA|M|20|E|A|Y|2|1|0|m|PB|S|M||||||
