,SalaryUSD,Country,PrimaryDatabase,YearsWithThisDatabase,EmploymentStatus,JobTitle,ManageStaff,YearsWithThisTypeOfJob,HowManyCompanies,OtherPeopleOnYourTeam,PopulationOfLargestCityWithin20Miles,EmploymentSector,CareerPlansThisYear,Gender,DatabaseServers,Education,EducationIsComputerRelated,Certifications,HoursWorkedPerWeek,TelecommuteDaysPerWeek
0,Low,Sweden,M,4,E,D,Y,4,1.0,0,t,PB,S,M,,,,,,
1,Very High,USA,M,15,E,DBAP,N,25,5.0,0,m,PB,S,M,,,,,,
2,High,USA,M,12,E,DBAG,Y,6,4.0,1,C,PB,S,M,,,,,,
3,Very Low,UK,M,10,E,DBAP,N,5,2.0,0,C,E,S,M,,,,,,
4,Mid,USA,M,5,E,D,N,5,1.0,0,c,PB,S,M,,,,,,
5,Very Low,Pakistan,M,14,E,M,Y,14,1.0,1,m,PB,S,M,,,,,,
6,High,USA,M,14,E,DA,N,14,3.0,6,m,PB,,M,,,,,,
7,Very High,USA,P,2,EC,M,Y,9,2.0,1,m,PB,S,F,,,,,,
8,High,USA,M,10,E,DBAG,N,2,1.0,4,c,PB,S,M,,,,,,
9,Low,UK,M,10,E,DT,Y,10,4.0,0,C,PB,S,,,,,,,
10,Very Low,Paraguay,M,5,E,DBAG,N,5,2.0,0,t,PB,S,F,,,,,,
11,High,USA,M,6,EC,DT,N,6,4.0,0,T,PB,C,M,,,,,,
12,Very Low,India,M,13,E,DBAP,Y,13,4.0,6,m,PB,C,M,,,,,,
13,Very Low,Serbia-and-Montenegro,M,20,E,A,Y,20,1.0,0,m,PB,SR,M,,,,,,
14,High,USA,M,20,E,M,Y,5,2.0,0,C,PB,S,M,,,,,,
15,Very Low,Germany,M,2,E,DBAD,N,7,3.0,2,c,E,S,M,,,,,,
16,Very High,USA,M,11,E,DT,Y,10,2.0,0,m,PB,S,M,,,,,,
17,Very High,USA,,8,EC,A,N,20,6.0,1,m,PB,S,M,,,,,,
18,Mid,Canada,M,16,E,DBAG,N,16,2.0,0,m,PB,SE,M,,,,,,
19,Very Low,India,M,4,E,DBAP,N,4,2.0,3,m,PB,,M,,,,,,
20,Low,USA,M,5,E,DA,N,7,1.0,2,T,PB,SR,M,,,,,,
21,Very Low,Canada,M,8,E,DBAG,N,8,2.0,2,m,SG,SE,M,,,,,,
22,Low,USA,M,2,E,DBAG,N,3,2.0,3,C,LG,S,M,,,,,,
23,Low,UK,M,5,E,E,Y,5,1.0,1,C,PB,S,M,,,,,,
24,Low,USA,,5,E,AN,N,5,1.0,0,c,PB,C,M,,,,,,
25,Very Low,UK,M,3,E,DBAG,N,1,2.0,1,c,NP,SE,M,,,,,,
26,Very High,UK,M,23,IC,A,N,23,6.0,6,T,PB,C,M,,,,,,
27,Mid,Canada,M,25,E,DBAG,N,15,4.0,0,c,PB,S,M,,,,,,
28,Mid,UK,M,11,E,DBAP,N,10,3.0,5,m,PB,S,M,,,,,,
29,Very High,USA,M,18,E,A,Y,18,1.0,0,c,PB,S,M,,,,,,
30,Very Low,India,A,6,E,DBAG,N,6,3.0,6,m,PB,S,M,,,,,,
31,Mid,USA,M,6,E,A,N,2,2.0,6,C,PB,S,M,,,,,,
32,High,USA,M,8,E,DBAG,N,6,4.0,0,m,PB,S,M,,,,,,
33,Very Low,Dominican-Republic,M,5,E,DBAG,N,4,2.0,3,m,SG,SE,M,,,,,,
34,Very High,USA,M,20,EC,A,Y,2,1.0,0,m,PB,SR,F,,,,,,
35,Very Low,Slovakia,M,6,IC,DT,N,6,5.0,2,C,PB,C,M,,,,,,
36,Very High,USA,M,12,E,DBAP,N,6,1.0,0,m,PB,SR,,,,,,,
37,Very Low,USA,MA,5,E,AN,N,5,1.0,2,c,PB,SE,M,,,,,,
38,High,USA,M,25,E,DBAD,Y,20,1.0,0,m,PB,S,M,,,,,,
39,Mid,USA,M,15,E,DBAP,Y,14,1.0,6,c,PB,SR,M,,,,,,
40,Very High,USA,M,6,E,DA,N,6,3.0,6,T,PB,S,,,,,,,
41,Low,Canada,M,14,E,A,N,3,1.0,1,m,SG,C,M,,,,,,
42,Very Low,Brazil,M,8,E,DBAP,Y,3,5.0,5,m,PB,S,M,,,,,,
43,Mid,USA,M,5,E,DBAG,N,4,1.0,0,m,PB,S,M,,,,,,
44,Mid,Germany,M,5,E,DBAG,N,5,1.0,1,T,PB,S,M,,,,,,
45,Very Low,USA,O,2,E,AN,N,5,2.0,2,C,PB,,M,,,,,,
46,Very Low,India,M,8,E,DBAG,N,8,1.0,2,m,PB,SR,M,,,,,,
47,Low,Canada,M,15,E,D,N,17,3.0,2,T,LG,S,M,,,,,,
48,Very Low,USA,M,10,E,AN,N,15,3.0,1,c,PB,S,M,,,,,,
49,High,USA,A,6,E,E,N,2,5.0,6,C,PB,C,M,,,,,,
50,Low,USA,M,1,E,AN,N,1,1.0,4,m,PB,S,M,,,,,,
51,Very High,USA,M,23,E,DBAG,N,23,1.0,2,m,PB,S,M,,,,,,
52,Very High,USA,M,10,E,M,Y,14,4.0,0,m,PB,S,M,,,,,,
53,Very High,USA,M,15,IC,DT,N,15,1.0,5,m,PB,S,M,,,,,,
54,High,USA,M,23,E,DBAG,N,23,4.0,2,m,PB,SE,M,,,,,,
55,Very Low,USA,M,2,E,DBAG,N,5,2.0,0,T,NP,S,M,,,,,,
56,Very High,USA,M,20,E,DBAG,N,20,6.0,2,m,PB,SR,M,,,,,,
57,High,USA,M,15,E,DBAG,N,15,2.0,0,m,NP,S,M,,,,,,
58,Very High,USA,M,20,E,A,Y,2,1.0,0,m,PB,S,M,,,,,,
59,Low,France,M,14,E,E,Y,4,2.0,0,C,PB,S,M,,,,,,
60,Mid,Canada,M,20,E,M,Y,5,4.0,2,m,PB,S,M,,,,,,
61,High,USA,M,15,E,DBAD,N,20,3.0,0,C,PB,S,F,,,,,,
62,High,USA,M,10,E,DBAG,N,5,2.0,1,C,NP,SE,M,,,,,,
63,High,USA,M,9,E,DBAG,Y,9,1.0,0,C,PB,S,M,,,,,,
64,Low,USA,M,10,E,DBAD,N,10,2.0,1,m,PB,S,M,,,,,,
65,Very High,USA,M,12,E,M,Y,2,3.0,0,c,PB,SR,M,,,,,,
66,Mid,USA,M,7,E,DT,Y,5,2.0,1,m,PB,S,M,,,,,,
67,High,USA,M,20,E,DBAP,N,20,3.0,3,T,NP,S,M,,,,,,
68,Low,USA,M,6,EC,DBAG,N,1,1.0,0,C,PB,S,M,,,,,,
69,Mid,USA,M,6,E,DBAD,N,1,1.0,0,t,PB,S,M,,,,,,
70,High,USA,M,22,E,DBAP,N,21,5.0,3,c,PB,S,M,,,,,,
71,Mid,USA,M,2,E,DBAG,N,2,1.0,1,T,PB,,M,,,,,,
72,High,USA,M,18,E,DBAP,N,18,1.0,1,C,PB,S,F,,,,,,
73,Mid,USA,M,5,E,DBAG,Y,1,2.0,1,m,PB,,M,,,,,,
74,Very High,USA,M,15,EC,DBAG,N,20,6.0,4,c,SG,S,M,,,,,,
75,Low,USA,M,6,E,DBAG,Y,2,2.0,0,T,E,C,M,,,,,,
76,Very Low,UK,M,4,E,DBAG,N,4,2.0,2,C,PB,S,M,,,,,,
77,Very High,USA,M,9,E,M,Y,4,1.0,6,C,PB,S,M,,,,,,
78,Very High,USA,M,22,E,DBAG,N,13,2.0,1,m,PB,S,M,,,,,,
79,High,USA,M,10,E,M,Y,4,2.0,6,C,PB,SR,M,,,,,,
80,Mid,USA,M,13,E,DA,N,17,2.0,0,C,PB,S,M,,,,,,
81,High,USA,M,16,E,A,N,6,1.0,0,T,PB,SR,M,,,,,,
82,Very High,USA,M,30,E,DBAG,N,6,5.0,1,m,PB,S,M,,,,,,
